store_name,store_city,store_location,product_name,product_category,current_stock,forecasted_units_next_7_days,safety_stock,reorder_point,needs_restock,recommended_restock_quantity,days_of_inventory_remaining,unit_margin,priority_score,priority_band,latest_stock_status,out_of_stock_flag,restock_risk_flag,store_key,product_key,product_id,store_id,demand_model_used
Maven Toys Puebla 3,Puebla,Residential,Colorbuds,Electronics,2,26.072884439589128,5.214576887917826,31.287461327506954,True,30,0.5369563169137653,8.0,234.29969062005563,High,LOW_STOCK,0,1,44,6,6,44,product_store_holt_winters_weekly_additive
Maven Toys Culiacan 1,Culiacan,Downtown,Animal Figures,Toys,0,61.10495113761269,12.220990227522538,73.32594136513522,True,74,0.0,3.0,219.97782409540565,High,OUT_OF_STOCK,1,1,49,2,2,49,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 2,Cuidad de Mexico,Airport,Lego Bricks,Toys,2,31.36681309772808,6.273362619545616,37.6401757172737,True,36,0.44633160392740157,5.0,178.2008785863685,High,LOW_STOCK,0,1,31,18,18,31,product_store_holt_winters_weekly_additive
Maven Toys Puebla 1,Puebla,Commercial,Colorbuds,Electronics,11,25.9573645146336,5.19147290292672,31.14883741756032,True,21,2.966402847122282,8.0,161.19069934048255,High,NORMAL_STOCK,0,0,19,6,6,19,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 4,Cuidad de Mexico,Commercial,Colorbuds,Electronics,8,23.25828337373059,4.651656674746118,27.909940048476706,True,20,2.4077443334984054,8.0,159.27952038781365,High,LOW_STOCK,0,1,45,6,6,45,product_store_holt_winters_weekly_additive
Maven Toys Guanajuato 2,Guanajuato,Commercial,Colorbuds,Electronics,8,22.21430535171692,4.442861070343384,26.657166422060303,True,19,2.5208980930691953,8.0,149.25733137648243,High,LOW_STOCK,0,1,22,6,6,22,product_store_holt_winters_weekly_additive
Maven Toys Toluca 1,Toluca,Downtown,Barrel O' Slime,Art & Crafts,8,60.53828900424873,12.107657800849747,72.64594680509848,True,65,0.9250344025426582,2.0,129.29189361019695,High,LOW_STOCK,0,1,17,3,3,17,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 3,Cuidad de Mexico,Residential,Barrel O' Slime,Art & Crafts,4,54.99834868274027,10.999669736548055,65.99801841928833,True,62,0.5091061944699267,2.0,123.99603683857666,High,LOW_STOCK,0,1,37,3,3,37,product_store_holt_winters_weekly_additive
Maven Toys Guanajuato 1,Guanajuato,Downtown,Lego Bricks,Toys,7,26.49513065408333,5.299026130816666,31.794156784899997,True,25,1.8493964283376088,5.0,123.97078392449998,High,LOW_STOCK,0,1,14,18,18,14,product_store_holt_winters_weekly_additive
Maven Toys La Paz 1,La Paz,Downtown,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,5,28,28,5,fallback_product_average_per_active_store
Maven Toys Monterrey 2,Monterrey,Downtown,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,7,28,28,7,fallback_product_average_per_active_store
Maven Toys Mexicali 2,Mexicali,Downtown,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,13,28,28,13,fallback_product_average_per_active_store
Maven Toys San Luis Potosi 1,San Luis Potosi,Downtown,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,16,28,28,16,fallback_product_average_per_active_store
Maven Toys Merida 1,Merida,Downtown,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,18,28,28,18,fallback_product_average_per_active_store
Maven Toys Guanajuato 2,Guanajuato,Commercial,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,22,28,28,22,fallback_product_average_per_active_store
Maven Toys Aguascalientes 1,Aguascalientes,Downtown,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,24,28,28,24,fallback_product_average_per_active_store
Maven Toys Xalapa 2,Xalapa,Downtown,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,39,28,28,39,fallback_product_average_per_active_store
Maven Toys Toluca 2,Toluca,Commercial,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,40,28,28,40,fallback_product_average_per_active_store
Maven Toys Hermosillo 2,Hermosillo,Downtown,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,41,28,28,41,fallback_product_average_per_active_store
Maven Toys Hermosillo 3,Hermosillo,Commercial,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,42,28,28,42,fallback_product_average_per_active_store
Maven Toys Ciudad de Mexico 4,Cuidad de Mexico,Commercial,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,45,28,28,45,fallback_product_average_per_active_store
Maven Toys Guanajuato 3,Guanajuato,Residential,Playfoam,Art & Crafts,0,14.616762230234288,2.9233524460468576,17.540114676281146,True,18,0.0,7.0,122.78080273396802,High,OUT_OF_STOCK,1,1,50,28,28,50,fallback_product_average_per_active_store
Maven Toys Puebla 3,Puebla,Residential,Etch A Sketch,Art & Crafts,0,10.15699471160234,2.031398942320468,12.188393653922809,True,13,0.0,10.0,121.88393653922809,High,OUT_OF_STOCK,1,1,44,11,11,44,product_store_holt_winters_weekly_additive
Maven Toys Guadalajara 3,Guadalajara,Airport,Lego Bricks,Toys,9,27.492607123707543,5.498521424741509,32.991128548449055,True,24,2.2915251258827896,5.0,119.95564274224527,High,LOW_STOCK,0,1,30,18,18,30,product_store_holt_winters_weekly_additive
Maven Toys Xalapa 1,Xalapa,Commercial,Playfoam,Art & Crafts,1,14.616762230234288,2.9233524460468576,17.540114676281146,True,17,0.4789022281227735,7.0,115.78080273396802,High,LOW_STOCK,0,1,29,28,28,29,fallback_product_average_per_active_store
