latest_date,store_key,store_id,store_name,store_city,store_location,product_key,product_id,product_name,product_category,current_stock,latest_stock_status,out_of_stock_flag,restock_risk_flag,is_out_of_stock,is_restock_risk,unit_margin,product_margin
2023-09-26,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,1,1,Action Figure,Toys,27,NORMAL_STOCK,0,0,0.0,0.0,6.0,6.0
2023-09-27,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,2,2,Animal Figures,Toys,0,OUT_OF_STOCK,1,1,1.0,1.0,3.0,3.0
2023-09-29,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,3,3,Barrel O' Slime,Art & Crafts,32,NORMAL_STOCK,0,0,0.0,0.0,2.0,2.0
2023-09-23,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,4,4,Chutes & Ladders,Games,6,LOW_STOCK,0,1,0.0,1.0,3.0,3.0
2023-09-30,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,5,5,Classic Dominoes,Games,0,OUT_OF_STOCK,1,1,1.0,1.0,2.0,2.0
2023-09-24,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,6,6,Colorbuds,Electronics,79,HIGH_STOCK,0,0,0.0,0.0,8.0,8.0
2023-09-24,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,7,7,Dart Gun,Sports & Outdoors,5,LOW_STOCK,0,1,0.0,1.0,4.0,4.0
2023-09-29,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,8,8,Deck Of Cards,Games,63,HIGH_STOCK,0,0,0.0,0.0,3.0,3.0
2023-09-30,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,9,9,Dino Egg,Toys,12,NORMAL_STOCK,0,0,0.0,0.0,1.0,1.0
2023-09-28,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,10,10,Dinosaur Figures,Toys,22,NORMAL_STOCK,0,0,0.0,0.0,4.0,4.0
2023-09-02,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,11,11,Etch A Sketch,Art & Crafts,19,NORMAL_STOCK,0,0,0.0,0.0,10.0,10.0
2023-09-30,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,12,12,Foam Disk Launcher,Sports & Outdoors,3,LOW_STOCK,0,1,0.0,1.0,3.0,3.0
2023-09-29,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,13,13,Gamer Headphones,Electronics,12,NORMAL_STOCK,0,0,0.0,0.0,6.0,6.0
2023-09-22,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,14,14,Glass Marbles,Games,3,LOW_STOCK,0,1,0.0,1.0,5.0,5.0
2023-09-14,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,15,15,Hot Wheels 5-Pack,Toys,2,LOW_STOCK,0,1,0.0,1.0,2.0,2.0
2023-08-21,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,16,16,Jenga,Games,8,LOW_STOCK,0,1,0.0,1.0,7.0,7.0
2023-09-28,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,17,17,Kids Makeup Kit,Art & Crafts,7,LOW_STOCK,0,1,0.0,1.0,6.0,6.0
2023-09-22,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,18,18,Lego Bricks,Toys,11,NORMAL_STOCK,0,0,0.0,0.0,5.0,5.0
2023-09-30,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,19,19,Magic Sand,Art & Crafts,25,NORMAL_STOCK,0,0,0.0,0.0,2.0,2.0
2023-06-28,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,20,20,Mini Basketball Hoop,Sports & Outdoors,11,NORMAL_STOCK,0,0,0.0,0.0,16.0,16.0
2023-09-29,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,21,21,Mini Ping Pong Set,Sports & Outdoors,21,NORMAL_STOCK,0,0,0.0,0.0,3.0,3.0
2023-09-23,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,22,22,Monopoly,Games,2,LOW_STOCK,0,1,0.0,1.0,6.0,6.0
2023-09-26,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,23,23,Mr. Potatohead,Toys,1,LOW_STOCK,0,1,0.0,1.0,5.0,5.0
2023-09-30,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,24,24,Nerf Gun,Sports & Outdoors,9,LOW_STOCK,0,1,0.0,1.0,5.0,5.0
2023-09-27,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,25,25,Playdoh Can,Art & Crafts,54,HIGH_STOCK,0,0,0.0,0.0,1.0,1.0
2023-05-15,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,26,26,Playdoh Playset,Art & Crafts,13,NORMAL_STOCK,0,0,0.0,0.0,4.0,4.0
2023-09-20,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,27,27,Playdoh Toolkit,Art & Crafts,33,NORMAL_STOCK,0,0,0.0,0.0,1.0,1.0
2023-09-29,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,28,28,Playfoam,Art & Crafts,10,LOW_STOCK,0,1,0.0,1.0,7.0,7.0
2023-09-09,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,29,29,Plush Pony,Toys,4,LOW_STOCK,0,1,0.0,1.0,11.0,11.0
2023-08-05,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,30,30,Rubik's Cube,Games,44,NORMAL_STOCK,0,0,0.0,0.0,2.0,2.0
2023-09-26,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,31,31,Splash Balls,Sports & Outdoors,7,LOW_STOCK,0,1,0.0,1.0,1.0,1.0
2023-08-23,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,32,32,Supersoaker Water Gun,Sports & Outdoors,4,LOW_STOCK,0,1,0.0,1.0,3.0,3.0
2023-08-31,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,33,33,Teddy Bear,Toys,2,LOW_STOCK,0,1,0.0,1.0,2.0,2.0
2023-09-26,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,34,34,Toy Robot,Electronics,0,OUT_OF_STOCK,1,1,1.0,1.0,5.0,5.0
2023-06-17,1,1,Maven Toys Guadalajara 1,Guadalajara,Residential,35,35,Uno Card Game,Games,12,NORMAL_STOCK,0,0,0.0,0.0,4.0,4.0
2023-09-30,2,2,Maven Toys Monterrey 1,Monterrey,Residential,1,1,Action Figure,Toys,0,OUT_OF_STOCK,1,1,1.0,1.0,6.0,6.0
2023-09-29,2,2,Maven Toys Monterrey 1,Monterrey,Residential,2,2,Animal Figures,Toys,6,LOW_STOCK,0,1,0.0,1.0,3.0,3.0
2023-09-30,2,2,Maven Toys Monterrey 1,Monterrey,Residential,3,3,Barrel O' Slime,Art & Crafts,18,NORMAL_STOCK,0,0,0.0,0.0,2.0,2.0
2023-09-19,2,2,Maven Toys Monterrey 1,Monterrey,Residential,6,6,Colorbuds,Electronics,6,LOW_STOCK,0,1,0.0,1.0,8.0,8.0
2023-09-21,2,2,Maven Toys Monterrey 1,Monterrey,Residential,7,7,Dart Gun,Sports & Outdoors,14,NORMAL_STOCK,0,0,0.0,0.0,4.0,4.0
2023-09-26,2,2,Maven Toys Monterrey 1,Monterrey,Residential,8,8,Deck Of Cards,Games,76,HIGH_STOCK,0,0,0.0,0.0,3.0,3.0
2023-09-28,2,2,Maven Toys Monterrey 1,Monterrey,Residential,9,9,Dino Egg,Toys,0,OUT_OF_STOCK,1,1,1.0,1.0,1.0,1.0
2023-09-16,2,2,Maven Toys Monterrey 1,Monterrey,Residential,10,10,Dinosaur Figures,Toys,10,LOW_STOCK,0,1,0.0,1.0,4.0,4.0
2023-09-29,2,2,Maven Toys Monterrey 1,Monterrey,Residential,11,11,Etch A Sketch,Art & Crafts,0,OUT_OF_STOCK,1,1,1.0,1.0,10.0,10.0
2023-09-16,2,2,Maven Toys Monterrey 1,Monterrey,Residential,12,12,Foam Disk Launcher,Sports & Outdoors,2,LOW_STOCK,0,1,0.0,1.0,3.0,3.0
2023-09-30,2,2,Maven Toys Monterrey 1,Monterrey,Residential,13,13,Gamer Headphones,Electronics,3,LOW_STOCK,0,1,0.0,1.0,6.0,6.0
2023-09-30,2,2,Maven Toys Monterrey 1,Monterrey,Residential,14,14,Glass Marbles,Games,21,NORMAL_STOCK,0,0,0.0,0.0,5.0,5.0
2023-09-22,2,2,Maven Toys Monterrey 1,Monterrey,Residential,15,15,Hot Wheels 5-Pack,Toys,20,NORMAL_STOCK,0,0,0.0,0.0,2.0,2.0
2023-07-29,2,2,Maven Toys Monterrey 1,Monterrey,Residential,16,16,Jenga,Games,0,unknown,1,1,0.0,0.0,7.0,7.0
2023-09-30,2,2,Maven Toys Monterrey 1,Monterrey,Residential,17,17,Kids Makeup Kit,Art & Crafts,12,NORMAL_STOCK,0,0,0.0,0.0,6.0,6.0
2023-09-22,2,2,Maven Toys Monterrey 1,Monterrey,Residential,18,18,Lego Bricks,Toys,38,NORMAL_STOCK,0,0,0.0,0.0,5.0,5.0
2023-09-30,2,2,Maven Toys Monterrey 1,Monterrey,Residential,19,19,Magic Sand,Art & Crafts,35,NORMAL_STOCK,0,0,0.0,0.0,2.0,2.0
2023-09-15,2,2,Maven Toys Monterrey 1,Monterrey,Residential,21,21,Mini Ping Pong Set,Sports & Outdoors,20,NORMAL_STOCK,0,0,0.0,0.0,3.0,3.0
2023-08-27,2,2,Maven Toys Monterrey 1,Monterrey,Residential,23,23,Mr. Potatohead,Toys,8,LOW_STOCK,0,1,0.0,1.0,5.0,5.0
2023-09-22,2,2,Maven Toys Monterrey 1,Monterrey,Residential,24,24,Nerf Gun,Sports & Outdoors,39,NORMAL_STOCK,0,0,0.0,0.0,5.0,5.0
2023-09-30,2,2,Maven Toys Monterrey 1,Monterrey,Residential,25,25,Playdoh Can,Art & Crafts,32,NORMAL_STOCK,0,0,0.0,0.0,1.0,1.0
2023-09-09,2,2,Maven Toys Monterrey 1,Monterrey,Residential,26,26,Playdoh Playset,Art & Crafts,12,NORMAL_STOCK,0,0,0.0,0.0,4.0,4.0
2023-09-29,2,2,Maven Toys Monterrey 1,Monterrey,Residential,27,27,Playdoh Toolkit,Art & Crafts,30,NORMAL_STOCK,0,0,0.0,0.0,1.0,1.0
2023-09-20,2,2,Maven Toys Monterrey 1,Monterrey,Residential,28,28,Playfoam,Art & Crafts,2,LOW_STOCK,0,1,0.0,1.0,7.0,7.0
2023-08-25,2,2,Maven Toys Monterrey 1,Monterrey,Residential,29,29,Plush Pony,Toys,5,LOW_STOCK,0,1,0.0,1.0,11.0,11.0
2023-09-20,2,2,Maven Toys Monterrey 1,Monterrey,Residential,30,30,Rubik's Cube,Games,50,NORMAL_STOCK,0,0,0.0,0.0,2.0,2.0
2023-09-16,2,2,Maven Toys Monterrey 1,Monterrey,Residential,31,31,Splash Balls,Sports & Outdoors,18,NORMAL_STOCK,0,0,0.0,0.0,1.0,1.0
2023-08-03,2,2,Maven Toys Monterrey 1,Monterrey,Residential,32,32,Supersoaker Water Gun,Sports & Outdoors,10,LOW_STOCK,0,1,0.0,1.0,3.0,3.0
2023-08-08,2,2,Maven Toys Monterrey 1,Monterrey,Residential,33,33,Teddy Bear,Toys,11,NORMAL_STOCK,0,0,0.0,0.0,2.0,2.0
2023-08-31,2,2,Maven Toys Monterrey 1,Monterrey,Residential,34,34,Toy Robot,Electronics,18,NORMAL_STOCK,0,0,0.0,0.0,5.0,5.0
2023-09-26,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,1,1,Action Figure,Toys,17,NORMAL_STOCK,0,0,0.0,0.0,6.0,6.0
2023-09-29,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,2,2,Animal Figures,Toys,8,LOW_STOCK,0,1,0.0,1.0,3.0,3.0
2023-09-28,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,3,3,Barrel O' Slime,Art & Crafts,35,NORMAL_STOCK,0,0,0.0,0.0,2.0,2.0
2023-09-24,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,6,6,Colorbuds,Electronics,21,NORMAL_STOCK,0,0,0.0,0.0,8.0,8.0
2023-09-26,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,7,7,Dart Gun,Sports & Outdoors,8,LOW_STOCK,0,1,0.0,1.0,4.0,4.0
2023-09-30,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,8,8,Deck Of Cards,Games,44,NORMAL_STOCK,0,0,0.0,0.0,3.0,3.0
2023-09-27,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,9,9,Dino Egg,Toys,4,LOW_STOCK,0,1,0.0,1.0,1.0,1.0
2023-09-04,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,10,10,Dinosaur Figures,Toys,54,HIGH_STOCK,0,0,0.0,0.0,4.0,4.0
2023-08-10,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,11,11,Etch A Sketch,Art & Crafts,13,NORMAL_STOCK,0,0,0.0,0.0,10.0,10.0
2023-08-03,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,12,12,Foam Disk Launcher,Sports & Outdoors,4,LOW_STOCK,0,1,0.0,1.0,3.0,3.0
2023-09-29,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,13,13,Gamer Headphones,Electronics,8,LOW_STOCK,0,1,0.0,1.0,6.0,6.0
2023-09-18,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,14,14,Glass Marbles,Games,4,LOW_STOCK,0,1,0.0,1.0,5.0,5.0
2023-09-28,3,3,Maven Toys Guadalajara 2,Guadalajara,Commercial,15,15,Hot Wheels 5-Pack,Toys,0,OUT_OF_STOCK,1,1,1.0,1.0,2.0,2.0
