date,product_key,product_id,product_name,product_category,units,revenue,gross_profit,unit_margin,product_margin
2022-01-01,1,1,Action Figure,Toys,87,1391.13,522.0,6.0,6.0
2022-01-01,2,2,Animal Figures,Toys,70,909.3000000000001,210.0,3.0,3.0
2022-01-01,3,3,Barrel O' Slime,Art & Crafts,9,35.910000000000004,18.0,2.0,2.0
2022-01-01,4,4,Chutes & Ladders,Games,17,220.83,51.0,3.0,3.0
2022-01-01,5,5,Classic Dominoes,Games,25,249.75,50.0,2.0,2.0
2022-01-01,6,6,Colorbuds,Electronics,147,2203.53,1176.0,8.0,8.0
2022-01-01,7,7,Dart Gun,Sports & Outdoors,31,495.69,124.0,4.0,4.0
2022-01-01,8,8,Deck Of Cards,Games,372,2600.28,1116.0,3.0,3.0
2022-01-01,9,9,Dino Egg,Toys,98,1077.02,98.0,1.0,1.0
2022-01-01,10,10,Dinosaur Figures,Toys,18,269.82,72.0,4.0,4.0
2022-01-01,14,14,Glass Marbles,Games,34,373.66,170.0,5.0,5.0
2022-01-01,17,17,Kids Makeup Kit,Art & Crafts,40,799.5999999999999,240.0,6.0,6.0
2022-01-01,18,18,Lego Bricks,Toys,86,3439.1400000000003,430.0,5.0,5.0
2022-01-01,20,20,Mini Basketball Hoop,Sports & Outdoors,26,649.74,416.0,16.0,16.0
2022-01-01,21,21,Mini Ping Pong Set,Sports & Outdoors,51,509.49,153.0,3.0,3.0
2022-01-01,22,22,Monopoly,Games,34,679.66,204.0,6.0,6.0
2022-01-01,24,24,Nerf Gun,Sports & Outdoors,73,1459.27,365.0,5.0,5.0
2022-01-01,25,25,Playdoh Can,Art & Crafts,5,14.950000000000001,5.0,1.0,1.0
2022-01-01,27,27,Playdoh Toolkit,Art & Crafts,27,134.73000000000002,27.0,1.0,1.0
2022-01-01,30,30,Rubik's Cube,Games,38,759.6199999999999,76.0,2.0,2.0
2022-01-01,31,31,Splash Balls,Sports & Outdoors,88,791.12,88.0,1.0,1.0
2022-01-01,33,33,Teddy Bear,Toys,23,298.77,46.0,2.0,2.0
2022-01-01,34,34,Toy Robot,Electronics,57,1481.4299999999998,285.0,5.0,5.0
2022-01-01,35,35,Uno Card Game,Games,29,231.71,116.0,4.0,4.0
2022-01-02,1,1,Action Figure,Toys,193,3086.07,1158.0,6.0,6.0
2022-01-02,2,2,Animal Figures,Toys,26,337.74,78.0,3.0,3.0
2022-01-02,4,4,Chutes & Ladders,Games,43,558.57,129.0,3.0,3.0
2022-01-02,6,6,Colorbuds,Electronics,427,6400.73,3416.0,8.0,8.0
2022-01-02,7,7,Dart Gun,Sports & Outdoors,59,943.41,236.0,4.0,4.0
2022-01-02,8,8,Deck Of Cards,Games,120,838.8,360.0,3.0,3.0
2022-01-02,9,9,Dino Egg,Toys,36,395.64,36.0,1.0,1.0
2022-01-02,10,10,Dinosaur Figures,Toys,50,749.5,200.0,4.0,4.0
2022-01-02,14,14,Glass Marbles,Games,51,560.49,255.0,5.0,5.0
2022-01-02,17,17,Kids Makeup Kit,Art & Crafts,3,59.97,18.0,6.0,6.0
